"Внешний код";"Длинное наименование [OLD_NAME]";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Название раздела";"Название раздела";"Название раздела";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена""";"Количество на складе ""Основной склад (с. Дмитровское)"""
"00-00001871";"MINI Al Блок питания TPW, 350 W Влагозащитный, 12 V";"001871";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"8467.00";"RUB";"2"
"00-00009136";"MINI Al Блок питания TPW, 350 W Влагозащитный, 24 V";"009136";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"8467.00";"RUB";"22"
"00-00005627";"MINI Al Блок питания TPW, 40 W Влагозащитный, 12 V";"005627";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"1972.00";"RUB";"0"
"00-00005630";"MINI Al Блок питания TPW, 40 W Влагозащитный, 24 V";"005630";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"1972.00";"RUB";"0"
"00-00005628";"MINI Al Блок питания TPW, 60 W Влагозащитный, 12 V";"005628";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"2882.00";"RUB";"3"
"00-00005631";"MINI Al Блок питания TPW, 60 W Влагозащитный, 24 V";"005631";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"2882.00";"RUB";"0"
"00-00010761";"MINI Al Блок питания TPW, 600 W Влагозащитный, 12 V";"010761";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"11349.00";"RUB";"0"
"00-00010762";"MINI Al Блок питания TPW, 600 W Влагозащитный, 24 V";"010762";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"11349.00";"RUB";"0"
"00-00000260";"Сетевой адаптер 1 А 12v 12Вт, NA-12-12";"000260";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"472.00";"RUB";"0"
"00-00000177";"Сетевой адаптер 1,5А 12v 18Вт, NA-18-12";"000177";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"814.00";"RUB";"54"
"00-00001945";"Сетевой адаптер 2А 12v 24Вт, NA-24-12";"001945";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"873.00";"RUB";"0"
"00-00000826";"Сетевой адаптер 3 А 12v 36Вт, NA-36-12";"000826";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"1333.00";"RUB";"10"
"00-00001248";"Сетевой адаптер 4 А 12v 48Вт, NA-48-12";"001248";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"1427.00";"RUB";"188"
"00-00002835";"Сетевой адаптер 5А 12v 60Вт, NA-60-12";"002835";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"1663.00";"RUB";"0"
"00-00002838";"Провод 25 см с коннектором 2,5 мм";"002838";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"212.00";"RUB";"437"
"00-00001827";"Блок питания для светодиодной ленты LUX встраиваемый в профиль, диммируемый, 24В, 100Вт, IP40";"001827";"Lumker";"Подсветка";"Блоки питания";"LUMKER RC. Встраиваемые в профиль IP20";"7103.00";"RUB";"198"
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Блоки питания";"";"";"";""
"00-00001826";"Блок питания для светодиодной ленты LUX встраиваемый в профиль, диммируемый, 24В, 65Вт, IP40";"001826";"Lumker";"Подсветка";"Блоки питания";"LUMKER RC. Встраиваемые в профиль IP20";"5475.00";"RUB";"0"
"";"";"";"";"Акция";"";"";"";"";""
"";"";"";"";"Акция";"Блоки питания";"";"";"";""
"00000000105";"Блок питания S-100-12";"000105";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"1628.00";"RUB";"8927"
